movieId,title,genres
94494,96 Minutes (2011) ,Drama|Thriller
94496,Columbus Circle (2012),Crime|Mystery|Thriller
94503,"Decoy Bride, The (2011)",Comedy|Romance
94531,"Headhunter's Sister, The (1997)",Drama
94537,Angels Crest (2011),Drama
94539,Viva Riva! (2010),Drama
94542,"Forgiveness of Blood, The (Falja e gjakut) (2011)",Drama
94545,Among Wolves (Entrelobos) (2010),Drama
94556,Citizen Gangster (2011) ,Crime|Drama
94558,Beyond the Black Rainbow (2010),Mystery|Sci-Fi
94573,"Last Play at Shea, The (2010)",Documentary|Musical
94647,"Poker Club, The (2008)",Crime|Drama|Thriller
94649,"Clown, The (2011)",Comedy|Drama
94653,Creature (2011),Horror
94655,Thawing Out (La fonte des neiges) (2009) ,Comedy|Drama
94657,"Turkish Dance, Ella Lola (1898)",(no genres listed)
94659,Walking with Prehistoric Beasts (2001),Animation|Documentary
94661,Rocket Singh: Salesman of the Year (2009),Comedy|Drama
94663,Vicky Donor (2012),Comedy|Romance
94666,Zig Zag (1970),Drama|Thriller
94668,Extraordinary Stories (Historias extraordinarias) (2008),Drama|Mystery
94670,Small Town of Anara (Qalaqi Anara) (1978),Comedy
94672,Across the Line: The Exodus of Charlie Wright (2010),Crime|Drama
94675,Three Steps Above Heaven (Tres metros sobre el cielo) (2010),Drama|Romance
94677,"Dictator, The (2012)",Comedy
94679,Thrive (2011),Documentary
94681,Boys Love (2006),Drama|Romance
94725,Bombay Talkie (1970),Drama|Musical|Romance
94727,Border Radio (1987),Drama
94729,Beyond All Boundaries (2009),Documentary|War
94733,Keyhole (2011),Drama|Mystery
94735,Walking with Monsters (2005),Documentary
94737,"Boys Diving, Honolulu (1901)",Documentary
94739,"Island President, The (2011)",Documentary
94746,"Largo Winch (Heir Apparent: Largo Winch, The) (2008)",Adventure|Thriller
94748,"Mighty Macs, The (2009)",Drama
94750,My Blue Heaven (1950),Drama|Musical
94752,Gifted Hands: The Ben Carson Story (2009),Drama
94760,Chains (Catene) (1949),Crime|Drama
94762,"Ciel est à vous, Le (Woman Who Dared, The) (1944)",Drama
94765,Lumberjacking (Nuoruuteni savotat) (1988),Drama
94767,Safrana or Freedom of Speech (Safrana ou le droit à la parole) (1978),Drama
94769,"Rose Seller, The (La vendedora de rosas) (1998)",Drama
94772,Galileo (1975),Drama
94777,Men in Black III (M.III.B.) (M.I.B.³) (2012),Action|Comedy|Sci-Fi|IMAX
94780,Snow White and the Huntsman (2012),Action|Adventure|Drama
94782,"Harvest Month, The (Elokuu) (1956)",Drama
94784,Olympian Holiday (Loma) (1976) ,Comedy|Romance
94786,Pine Flat (2006),Drama
94788,Back Street (1941),Drama
94790,Where East Is East (1929),Drama
94799,Sound of My Voice (2011),Drama|Mystery|Sci-Fi
94801,"Steel Trap, The (1952)",Crime|Drama
94803,Night of the Demons (2009),Horror
94806,"Secrets of Jonathan Sperry, The (2008)",Drama
94808,Someone Like You (Unnaipol Oruvan) (2009),Crime|Drama
94810,Eva (2011),Drama|Fantasy|Sci-Fi
94813,Chernobyl Diaries (2012),Horror
94815,Chicken with Plums (Poulet aux prunes) (2011),Drama
94817,Escuela de seducción (2004),Comedy
94819,You Can't Win 'Em All (1970),Adventure|Comedy|War
94831,Leadbelly (1976),Drama
94833,"Pirates! Band of Misfits, The (2012)",Adventure|Animation|Children|Comedy
94835,"Vie meilleure, Une (Better Life, A) (2011)",Drama
94837,Hemingway & Gellhorn (2012),Drama|Romance|War
94839,"Fish Child, The (El niño pez) (2009)",Drama|Romance|Thriller
94841,Hick (2011),Drama|Romance
94864,Prometheus (2012),Action|Horror|Sci-Fi|IMAX
